,Name,Overs,Maidens,Runs,Wickets,Econ,Dots,4s,6s,Wd,Nb,Team,Match_id,Season,Fantasy_Points
4,Amit Mishra,3,0,28,0,9.33,7,4,1,0,0,2,598013,6,0
5,Karn Sharma,2,0,13,1,6.5,5,0,1,0,0,2,598013,6,25
6,Ashish Reddy,2,0,15,1,7.5,4,2,0,0,0,2,598013,6,25
7,Lakshmipathy Balaji,4,0,30,0,7.5,7,2,1,0,0,1,598013,6,0
8,Sachithra Senanayake,4,0,18,1,4.5,8,0,0,1,0,1,598013,6,31
9,Sunil Narine,4,0,31,1,7.75,6,2,1,0,0,1,598013,6,25
10,Jacques Kallis,4,0,13,3,3.25,15,1,0,1,0,1,598013,6,85
11,Rajat Bhatia,4,0,33,2,8.25,6,2,1,1,0,1,598013,6,50
0,Ajit  Chandila,3,0,14,0,4.67,12,1,1,0,0,2,598014,6,6
1,Sreesanth,4,1,20,2,5,14,2,0,1,1,2,598014,6,62
2,Kevon Cooper,3,0,33,2,11,7,3,1,1,0,2,598014,6,50
3,James Faulkner,3.5,0,30,2,7.83,9,5,0,0,0,2,598014,6,50
4,Siddharth Trivedi,4,0,21,2,5.25,9,1,0,0,0,2,598014,6,50
5,Stuart Binny,1,0,4,0,4,2,0,0,0,0,2,598014,6,0
6,Praveen Kumar,4,1,10,2,2.5,18,1,0,1,0,1,598014,6,68
7,Ryan Harris,4,0,30,0,7.5,14,6,0,2,0,1,598014,6,0
8,Parvinder Awana,4,0,35,1,8.75,10,7,0,0,0,1,598014,6,25
9,Azhar Mahmood,4,0,23,0,5.75,9,2,0,0,0,1,598014,6,0
10,Piyush Chawla,3.2,0,22,1,6.6,5,1,0,0,0,1,598014,6,25
0,Dirk Nannes,4,0,42,0,10.5,8,6,1,1,0,2,598015,6,0
1,Ravindra Jadeja,4,0,27,1,6.75,11,3,1,0,0,2,598015,6,25
2,Ravichandran Ashwin,4,0,24,0,6,8,1,1,0,0,2,598015,6,0
3,Chris Morris,4,0,25,2,6.25,12,2,1,0,0,2,598015,6,50
4,Dwayne Bravo,4,0,35,2,8.75,8,4,1,1,0,2,598015,6,50
5,Bhuvneshwar Kumar,4,1,12,2,3,15,0,0,1,0,1,598015,6,68
6,Ashok Dinda,4,0,34,2,8.5,7,5,0,0,0,1,598015,6,50
7,Mitchell Marsh,4,0,35,2,8.75,7,2,2,1,0,1,598015,6,50
8,Abhishek Nayar,3,0,21,1,7,6,2,0,0,0,1,598015,6,25
9,Aaron Finch,1,0,9,0,9,0,1,0,0,0,1,598015,6,0
10,Rahul Sharma,4,0,24,1,6,9,0,1,0,0,1,598015,6,25
0,Lakshmipathy Balaji,4,0,39,1,9.75,10,5,1,2,0,2,598016,6,25
1,Jacques Kallis,4,0,24,3,6,9,3,0,0,0,2,598016,6,79
2,Sachithra Senanayake,4,0,28,2,7,8,3,0,0,0,2,598016,6,50
3,Sunil Narine,4,0,33,3,8.25,12,3,2,1,0,2,598016,6,79
4,Rajat Bhatia,4,0,30,0,7.5,3,2,0,0,0,2,598016,6,0
5,Praveen Kumar,4,0,26,2,6.5,13,4,0,2,0,1,598016,6,50
6,Azhar Mahmood,4,0,21,3,5.25,12,2,0,1,0,1,598016,6,79
7,Manpreet Gony,4,0,18,1,4.5,15,2,0,2,0,1,598016,6,31
8,David Hussey,1,0,14,0,14,1,3,0,0,0,1,598016,6,0
9,Parvinder Awana,4,0,39,2,9.75,7,3,2,0,0,1,598016,6,50
10,Piyush Chawla,3,0,28,0,9.33,1,3,0,0,0,1,598016,6,0
0,Ravi Rampaul,4,1,28,0,7,12,2,1,0,1,2,598017,6,12
1,RP Singh,4,0,48,0,12,4,6,1,1,0,2,598017,6,-6
2,Jaydev Unadkat,4,0,24,2,6,12,3,0,2,0,2,598017,6,50
3,Vinay Kumar,4,0,21,1,5.25,12,2,0,0,0,2,598017,6,25
4,Andrew McDonald,2,0,17,1,8.5,4,3,0,0,0,2,598017,6,25
5,Jamaluddin Syed Mohammad,2,0,13,0,6.5,3,1,0,0,0,2,598017,6,0
6,Ashish Nehra,4,0,31,1,7.75,12,4,1,1,0,1,598017,6,25
7,Morne Morkel,4,0,32,1,8,10,1,2,1,0,1,598017,6,25
8,Irfan Pathan,4,0,39,0,9.75,6,4,1,0,0,1,598017,6,0
9,Umesh Yadav,4,0,22,2,5.5,9,1,0,0,0,1,598017,6,50
10,Shahbaz Nadeem,4,0,26,1,6.5,11,2,1,0,0,1,598017,6,25
0,Bhuvneshwar Kumar,4,0,18,3,4.5,16,2,0,2,0,2,598018,6,85
1,Ashok Dinda,4,0,25,1,6.25,11,3,0,2,0,2,598018,6,25
2,Angelo Mathews,4,0,29,0,7.25,5,1,1,0,0,2,598018,6,0
3,Rahul Sharma,4,0,21,2,5.25,12,1,1,0,0,2,598018,6,50
4,Mitchell Marsh,4,0,26,1,6.5,6,2,0,1,0,2,598018,6,25
5,Ishant Sharma,4,0,22,1,5.5,13,3,0,0,0,1,598018,6,25
6,Dale Steyn,4,0,34,1,8.5,10,5,0,0,0,1,598018,6,25
7,Thisara Perera,4,0,20,3,5,13,2,0,0,0,1,598018,6,79
8,Amit Mishra,4,0,19,4,4.75,10,0,1,0,0,1,598018,6,114
9,Karn Sharma,3,0,13,1,4.33,8,1,0,0,0,1,598018,6,31
0,Mitchell Johnson,4,0,41,0,10.25,8,5,1,2,0,2,598019,6,0
1,Lasith Malinga,4,0,30,0,7.5,11,5,0,0,0,2,598019,6,0
2,Rishi Dhawan,2,0,20,0,10,6,1,1,1,2,2,598019,6,0
3,Pragyan Ojha,4,0,31,0,7.75,5,2,1,0,0,2,598019,6,0
4,Kieron Pollard,2,0,24,1,12,5,3,1,2,0,2,598019,6,19
5,Harbhajan Singh,4,0,26,1,6.5,7,1,1,1,0,2,598019,6,25
6,Ajit  Chandila,2,0,6,2,3,6,0,0,0,0,1,598019,6,56
7,Ankeet Chavan,3,0,10,0,3.33,12,1,0,1,0,1,598019,6,6
8,James Faulkner,3.2,1,16,3,4.8,12,2,0,1,0,1,598019,6,97
9,Siddharth Trivedi,4,1,17,1,4.25,15,2,0,0,0,1,598019,6,43
10,Stuart Binny,3,0,14,2,4.67,8,1,0,0,0,1,598019,6,56
11,Kevon Cooper,3,0,25,1,8.33,3,2,0,1,0,1,598019,6,25
0,Shahbaz Nadeem,3,0,22,0,7.33,5,0,1,1,0,2,598020,6,0
1,Irfan Pathan,4,0,30,1,7.5,10,5,0,0,0,2,598020,6,25
2,Morne Morkel,4,0,42,1,10.5,8,6,1,1,0,2,598020,6,25
3,Umesh Yadav,4,0,33,1,8.25,10,5,0,1,0,2,598020,6,25
4,Virender Sehwag,1,0,9,0,9,0,1,0,0,0,2,598020,6,0
5,Ajit Agarkar,4,0,29,0,7.25,9,2,1,2,0,2,598020,6,0
6,Albie Morkel,3,0,13,1,4.33,11,0,1,1,0,1,598020,6,31
7,Mohit Sharma,3,0,10,3,3.33,11,0,0,2,0,1,598020,6,85
8,Chris Morris,2,0,13,1,6.5,8,2,0,1,0,1,598020,6,25
9,Dwayne Bravo,1.3,0,8,1,5.33,4,1,0,0,0,1,598020,6,25
10,Ravindra Jadeja,4,0,21,1,5.25,8,1,0,0,0,1,598020,6,25
11,Ravichandran Ashwin,4,0,18,2,4.5,11,1,0,0,0,1,598020,6,56
0,Hanuma Vihari,1,0,2,0,2,4,0,0,0,0,2,598021,6,0
1,Dale Steyn,4,0,14,1,3.5,14,1,0,0,0,2,598021,6,31
2,Ishant Sharma,4,0,29,2,7.25,10,2,1,2,0,2,598021,6,50
3,Thisara Perera,4,0,25,0,6.25,10,3,0,0,0,2,598021,6,0
4,Karn Sharma,3,0,19,2,6.33,10,0,2,0,0,2,598021,6,50
5,Amit Mishra,4,0,29,2,7.25,9,3,1,0,0,2,598021,6,50
6,Praveen Kumar,3,1,12,1,4,11,0,0,0,0,1,598021,6,43
7,Dimitri Mascarenhas,4,0,25,0,6.25,7,2,0,0,0,1,598021,6,0
8,Azhar Mahmood,3.5,0,36,1,9.39,7,1,3,1,0,1,598021,6,25
9,Piyush Chawla,4,0,25,1,6.25,9,3,0,0,0,1,598021,6,25
10,Manpreet Gony,4,0,24,2,6,12,4,0,0,0,1,598021,6,50
0,Albie Morkel,4,0,36,0,9,7,6,0,1,0,2,598022,6,0
1,Mohit Sharma,3,0,13,0,4.33,12,2,0,0,0,2,598022,6,6
2,Chris Morris,3,0,12,1,4,10,1,0,0,0,2,598022,6,31
3,Dwayne Bravo,2,0,14,1,7,6,1,1,0,0,2,598022,6,25
4,Ravichandran Ashwin,4,1,21,2,5.25,14,0,2,0,0,2,598022,6,62
5,Ravindra Jadeja,4,0,20,3,5,11,0,1,0,0,2,598022,6,79
6,Lakshmipathy Balaji,4,0,28,1,7,11,3,1,1,0,1,598022,6,25
7,Sachithra Senanayake,4,0,18,1,4.5,16,3,0,0,0,1,598022,6,31
8,Sunil Narine,4,0,20,1,5,9,0,1,0,0,1,598022,6,25
9,Yusuf Pathan,1.1,0,9,1,7.71,3,0,1,0,0,1,598022,6,25
10,Rajat Bhatia,2,0,12,0,6,2,0,0,0,0,1,598022,6,0
11,Jacques Kallis,4,0,32,1,8,8,3,1,0,0,1,598022,6,25
0,Ravi Rampaul,3.4,1,19,2,5.18,15,2,1,0,0,2,598023,6,62
1,RP Singh,4,0,13,3,3.25,17,2,0,0,0,2,598023,6,85
2,Jaydev Unadkat,4,0,32,1,8,6,4,0,0,0,2,598023,6,25
3,Vinay Kumar,4,0,18,3,4.5,13,2,0,0,0,2,598023,6,85
4,Murali Kartik,4,0,35,1,8.75,8,4,1,0,0,2,598023,6,25
5,Ajit  Chandila,4,0,21,0,5.25,10,0,1,0,0,1,598023,6,0
6,Sreesanth,1,0,9,0,9,3,2,0,0,0,1,598023,6,0
7,Shaun Tait,3,0,30,0,10,8,4,0,4,0,1,598023,6,0
8,James Faulkner,4,0,21,1,5.25,10,2,0,1,0,1,598023,6,25
9,Shane Watson,2,0,11,2,5.5,8,2,0,0,0,1,598023,6,50
10,Siddharth Trivedi,3.5,0,26,0,6.78,11,2,1,2,0,1,598023,6,0
0,Irfan Pathan,4,0,24,0,6,12,3,0,0,0,2,598024,6,0
1,Shahbaz Nadeem,4,0,20,0,5,8,1,0,0,0,2,598024,6,0
2,Roelof van der Merwe,4,0,35,1,8.75,7,2,2,0,0,2,598024,6,25
3,Umesh Yadav,4,0,31,2,7.75,10,3,1,1,0,2,598024,6,50
4,Ajit Agarkar,3,0,37,0,12.33,4,0,4,1,0,2,598024,6,-6
5,Andre Russell,1,0,13,0,13,1,1,1,0,0,2,598024,6,0
6,Lasith Malinga,4,0,26,1,6.5,10,4,0,0,0,1,598024,6,25
7,Jasprit Bumrah,3,0,38,0,12.67,5,5,1,1,2,1,598024,6,-6
8,Munaf Patel,4,0,36,0,9,7,6,0,0,0,1,598024,6,0
9,Harbhajan Singh,3,0,30,0,10,1,4,0,0,0,1,598024,6,0
10,Dwayne Smith,2,0,24,0,12,2,1,2,0,1,1,598024,6,-6
11,Kieron Pollard,1,0,11,0,11,1,2,0,0,0,1,598024,6,0
0,Praveen Kumar,4,1,36,0,9,11,4,1,3,0,2,598025,6,12
1,Azhar Mahmood,4,0,42,2,10.5,7,6,1,0,0,2,598025,6,50
2,Parvinder Awana,4,0,38,1,9.5,12,3,2,1,0,2,598025,6,25
3,Manpreet Gony,4,0,32,1,8,9,4,1,0,0,2,598025,6,25
4,Piyush Chawla,4,0,33,0,8.25,6,3,1,0,0,2,598025,6,0
5,Bhuvneshwar Kumar,4,0,31,1,7.75,9,4,0,0,0,1,598025,6,25
6,Ajantha Mendis,4,0,38,1,9.5,7,4,1,0,0,1,598025,6,25
7,Ashok Dinda,4,0,37,0,9.25,6,4,0,1,0,1,598025,6,0
8,Rahul Sharma,3,0,28,0,9.33,2,3,0,0,0,1,598025,6,0
9,Yuvraj Singh,2,0,15,1,7.5,4,0,1,0,0,1,598025,6,25
10,Luke Wright,2.5,0,35,0,12.35,2,1,3,0,0,1,598025,6,-6
0,Mohit Sharma,2,0,19,0,9.5,5,2,1,0,0,2,598026,6,0
1,Jason Holder,4,0,30,0,7.5,7,3,0,2,0,2,598026,6,0
2,Chris Morris,3,0,32,0,10.67,6,2,2,1,0,2,598026,6,0
3,Ravichandran Ashwin,4,0,20,2,5,8,1,0,0,0,2,598026,6,50
4,Ravindra Jadeja,3,0,45,0,15,1,2,3,2,0,2,598026,6,-6
5,Dwayne Bravo,4,0,36,2,9,6,2,1,1,1,2,598026,6,50
6,Ajit  Chandila,3,0,16,1,5.33,7,0,1,0,0,1,598026,6,25
7,Rahul Shukla,2,0,24,0,12,3,5,0,0,0,1,598026,6,-6
8,James Faulkner,4,0,20,3,5,9,1,0,0,0,1,598026,6,79
9,Kevon Cooper,4,0,49,0,12.25,4,7,1,0,0,1,598026,6,-6
10,Siddharth Trivedi,3,0,32,0,10.67,0,3,0,1,0,1,598026,6,0
11,Shane Watson,1.5,0,21,0,11.45,2,0,2,0,0,1,598026,6,0
12,Stuart Binny,2,0,20,0,10,0,2,0,1,0,1,598026,6,0
0,Bhuvneshwar Kumar,4,0,23,0,5.75,15,4,0,1,0,2,598027,6,0
1,Ishwar Pandey,2,0,33,0,16.5,2,7,0,0,1,2,598027,6,-6
2,Ashok Dinda,4,0,48,2,12,9,3,4,1,1,2,598027,6,44
3,Mitchell Marsh,3,0,56,1,18.67,4,2,7,1,0,2,598027,6,19
4,Ali Murtaza,2,0,45,0,22.5,2,3,5,1,0,2,598027,6,-6
5,Aaron Finch,1,0,29,0,29,0,1,4,0,0,2,598027,6,0
6,Luke Wright,4,0,26,1,6.5,8,1,1,2,0,2,598027,6,25
7,Murali Kartik,3,0,25,1,8.33,7,4,0,2,0,1,598027,6,25
8,RP Singh,4,0,20,1,5,14,3,0,0,0,1,598027,6,25
9,Ravi Rampaul,4,0,21,2,5.25,14,1,1,1,0,1,598027,6,50
10,Jaydev Unadkat,4,0,37,2,9.25,7,3,2,0,0,1,598027,6,50
11,Vinay Kumar,4,0,24,1,6,10,3,0,0,0,1,598027,6,25
12,Chris Gayle,1,0,5,2,5,4,1,0,0,0,1,598027,6,50
0,Irfan Pathan,4,0,28,1,7,11,4,0,2,0,2,598028,6,25
1,Siddarth Kaul,4,0,39,0,9.75,5,3,2,1,0,2,598028,6,0
2,Morne Morkel,4,0,22,1,5.5,12,1,1,0,0,2,598028,6,25
3,Ashish Nehra,4,0,38,2,9.5,12,5,2,0,0,2,598028,6,50
4,Umesh Yadav,4,0,38,0,9.5,11,5,2,0,0,2,598028,6,0
5,Praveen Kumar,4,0,19,1,4.75,13,1,1,0,0,1,598028,6,31
6,Azhar Mahmood,4,0,40,0,10,7,4,2,0,0,1,598028,6,0
7,Sandeep Sharma,4,1,23,3,5.75,16,3,1,0,0,1,598028,6,91
8,Parvinder Awana,4,0,28,1,7,12,4,0,0,1,1,598028,6,25
9,Piyush Chawla,4,0,44,2,11,7,3,3,0,0,1,598028,6,50
0,Harbhajan Singh,2,0,35,0,17.5,2,4,2,0,1,2,598029,6,-6
1,Mitchell Johnson,4,0,26,2,6.5,13,2,1,1,0,2,598029,6,50
2,Lasith Malinga,4,0,25,2,6.25,11,4,0,0,0,2,598029,6,50
3,Pragyan Ojha,4,0,21,2,5.25,10,2,0,0,0,2,598029,6,50
4,Kieron Pollard,2,0,14,0,7,4,1,0,0,0,2,598029,6,0
5,Yuzvendra Chahal,4,0,34,0,8.5,9,3,1,0,0,2,598029,6,0
6,Lakshmipathy Balaji,4,0,24,0,6,8,1,0,0,0,1,598029,6,0
7,Iqbal Abdulla,4,0,35,0,8.75,9,0,4,0,0,1,598029,6,0
8,Sunil Narine,4,0,17,3,4.25,11,1,0,0,0,1,598029,6,85
9,Sachithra Senanayake,4,0,50,1,12.5,6,3,4,0,0,1,598029,6,19
10,Rajat Bhatia,3.5,0,32,1,8.35,5,3,1,0,0,1,598029,6,25
0,Mohit Sharma,4,0,33,2,8.25,12,5,1,0,0,2,598030,6,50
1,Jason Holder,4,0,31,0,7.75,9,4,0,2,0,2,598030,6,0
2,Ravichandran Ashwin,4,0,21,1,5.25,10,2,0,1,0,2,598030,6,25
3,Chris Morris,3,0,24,0,8,6,1,1,0,0,2,598030,6,0
4,Dwayne Bravo,4,0,37,2,9.25,9,5,1,0,0,2,598030,6,50
5,Ravindra Jadeja,1,0,8,0,8,4,0,1,0,0,2,598030,6,0
6,Daren Sammy,3,0,31,0,10.33,4,3,1,1,0,1,598030,6,0
7,Ishant Sharma,4,0,34,1,8.5,9,4,0,1,1,1,598030,6,25
8,Dale Steyn,4,0,45,1,11.25,9,4,3,1,0,1,598030,6,25
9,Karn Sharma,4,1,8,0,2,16,0,0,0,0,1,598030,6,18
10,Amit Mishra,4,0,26,3,6.5,11,2,1,0,0,1,598030,6,79
11,Ashish Reddy,0.4,0,15,0,22.5,1,2,1,1,0,1,598030,6,0
0,Lakshmipathy Balaji,4,0,44,1,11,11,5,3,0,0,2,598031,6,25
1,Sachithra Senanayake,4,1,29,0,7.25,9,4,0,0,0,2,598031,6,12
2,Sunil Narine,4,0,22,0,5.5,10,2,0,0,0,2,598031,6,0
3,Jacques Kallis,4,0,14,2,3.5,13,1,0,0,0,2,598031,6,56
4,Sarabjit Ladda,2,0,18,1,9,3,1,1,0,0,2,598031,6,25
5,Rajat Bhatia,2,0,17,1,8.5,2,2,0,0,0,2,598031,6,25
6,Praveen Kumar,4,0,28,0,7,13,2,2,1,0,1,598031,6,0
7,Azhar Mahmood,4,0,35,3,8.75,13,3,3,0,0,1,598031,6,79
8,Bhargav Bhatt,3,0,21,0,7,8,3,0,1,0,1,598031,6,0
9,Piyush Chawla,4,0,33,0,8.25,8,4,1,0,0,1,598031,6,0
10,Harmeet Singh,3.2,0,24,1,7.2,9,2,1,0,1,1,598031,6,25
0,Ajit  Chandila,3,0,13,2,4.33,13,2,0,0,0,2,598032,6,56
1,James Faulkner,4,0,20,5,5,13,2,0,0,0,2,598032,6,141
2,Shane Watson,2,0,16,0,8,6,3,0,1,0,2,598032,6,0
3,Kevon Cooper,4,0,42,1,10.5,8,5,1,4,0,2,598032,6,25
4,Siddharth Trivedi,3,0,26,0,8.67,7,2,1,2,0,2,598032,6,0
5,Stuart Binny,4,0,25,1,6.25,10,2,0,2,0,2,598032,6,25
6,Dale Steyn,4,1,15,1,3.75,16,2,0,1,0,1,598032,6,43
7,Ishant Sharma,3,0,35,0,11.67,6,6,1,0,0,1,598032,6,0
8,Thisara Perera,4,0,34,1,8.5,10,5,1,0,0,1,598032,6,25
9,Daren Sammy,3,0,17,0,5.67,8,2,0,0,0,1,598032,6,0
10,Amit Mishra,2,0,20,0,10,3,0,2,0,0,1,598032,6,0
11,Karn Sharma,1.5,0,24,0,13.09,1,3,1,0,0,1,598032,6,0
0,Ravi Rampaul,4,0,35,1,8.75,10,5,1,0,0,2,598033,6,25
1,RP Singh,4,0,40,1,10,8,5,1,2,0,2,598033,6,25
2,Jaydev Unadkat,4,0,32,0,8,9,2,2,0,0,2,598033,6,0
3,Vinay Kumar,4,0,38,1,9.5,12,4,2,1,0,2,598033,6,25
4,Jamaluddin Syed Mohammad,4,0,43,1,10.75,1,2,2,0,0,2,598033,6,25
5,Mitchell Johnson,4,0,27,0,6.75,14,4,1,0,0,1,598033,6,0
6,Lasith Malinga,4,0,25,0,6.25,11,3,0,0,0,1,598033,6,0
7,Dhawal Kulkarni,4,0,19,3,4.75,15,0,1,3,0,1,598033,6,85
8,Harbhajan Singh,4,0,21,2,5.25,10,0,1,0,0,1,598033,6,50
9,Dwayne Smith,2,0,20,2,10,5,3,0,0,1,1,598033,6,50
10,Kieron Pollard,2,0,19,0,9.5,2,2,0,0,0,1,598033,6,0
0,Yusuf Pathan,2,0,18,0,9,2,0,1,0,0,2,598034,6,0
1,Mohammed Shami,2,0,20,0,10,7,3,1,1,0,2,598034,6,0
2,Lakshmipathy Balaji,4,0,45,0,11.25,4,5,1,1,0,2,598034,6,0
3,Sunil Narine,4,0,35,1,8.75,8,4,1,0,0,2,598034,6,25
4,Jacques Kallis,4,0,50,0,12.5,3,5,2,0,0,2,598034,6,-6
5,Rajat Bhatia,4,0,31,1,7.75,4,3,0,0,0,2,598034,6,25
6,Dirk Nannes,4,0,50,0,12.5,10,4,3,3,1,1,598034,6,-6
7,Mohit Sharma,4,0,23,1,5.75,11,3,0,0,0,1,598034,6,25
8,Chris Morris,3,0,29,1,9.67,7,6,0,0,0,1,598034,6,25
9,Ravindra Jadeja,2,0,13,0,6.5,5,0,1,0,0,1,598034,6,0
10,Ravichandran Ashwin,3,0,26,0,8.67,3,2,1,0,0,1,598034,6,0
11,Dwayne Bravo,4,0,37,1,9.25,7,5,0,3,0,1,598034,6,25
0,Bhuvneshwar Kumar,4,0,30,0,7.5,14,2,1,4,0,2,598035,6,0
1,Kane Richardson,4,0,38,0,9.5,11,1,4,1,0,2,598035,6,0
2,Ashok Dinda,4,0,31,3,7.75,14,5,1,0,0,2,598035,6,79
3,Rahul Sharma,3,0,23,1,7.67,7,2,1,0,0,2,598035,6,25
4,Luke Wright,1,0,16,0,16,0,1,1,2,0,2,598035,6,0
5,Yuvraj Singh,2,0,9,0,4.5,3,0,0,0,0,2,598035,6,6
6,Abhishek Nayar,2,0,15,1,7.5,4,1,0,1,0,2,598035,6,25
7,Irfan Pathan,4,1,29,2,7.25,12,5,0,0,0,1,598035,6,62
8,Umesh Yadav,4,0,24,2,6,13,2,0,1,0,1,598035,6,50
9,Morne Morkel,4,0,36,0,9,9,5,0,1,0,1,598035,6,0
10,Ashish Nehra,4,0,27,0,6.75,8,3,0,1,0,1,598035,6,0
11,Shahbaz Nadeem,4,0,30,0,7.5,9,3,1,0,0,1,598035,6,0
0,Ajit  Chandila,4,0,39,0,9.75,5,6,0,0,0,2,598036,6,0
1,James Faulkner,4,0,42,0,10.5,9,1,3,3,0,2,598036,6,0
2,Sreesanth,4,1,35,1,8.75,11,4,1,0,2,2,598036,6,37
3,Shane Watson,4,0,22,3,5.5,12,1,1,0,0,2,598036,6,79
4,Siddharth Trivedi,3,0,20,1,6.67,6,2,0,0,0,2,598036,6,25
5,Stuart Binny,1,0,8,0,8,2,1,0,0,0,2,598036,6,0
6,Ravi Rampaul,4,1,28,2,7,14,2,2,0,0,1,598036,6,62
7,RP Singh,4,0,35,1,8.75,5,4,0,1,0,1,598036,6,25
8,Vinay Kumar,3.5,0,39,1,10.17,7,5,1,0,0,1,598036,6,25
9,Moises Henriques,2,0,6,1,3,8,0,0,1,0,1,598036,6,31
10,Murali Kartik,3,0,32,0,10.67,1,1,2,0,0,1,598036,6,0
11,Jaydev Unadkat,3,0,30,0,10,4,4,0,0,0,1,598036,6,0
0,Praveen Kumar,4,0,24,1,6,12,2,1,1,0,2,598037,6,25
1,Azhar Mahmood,4,0,32,0,8,10,3,1,0,0,2,598037,6,0
2,Parvinder Awana,4,0,16,0,4,10,0,0,1,0,2,598037,6,6
3,Manpreet Gony,4,0,43,1,10.75,8,5,2,1,1,2,598037,6,25
4,Piyush Chawla,2,0,24,1,12,4,2,2,0,0,2,598037,6,19
5,David Hussey,2,0,32,0,16,3,2,3,1,0,2,598037,6,-6
6,Mitchell Johnson,4,0,29,2,7.25,11,2,1,3,0,1,598037,6,50
7,Lasith Malinga,4,0,39,1,9.75,9,4,2,1,0,1,598037,6,25
8,Dhawal Kulkarni,4,0,44,2,11,11,3,3,1,1,1,598037,6,50
9,Pragyan Ojha,3,0,22,2,7.33,8,2,1,0,0,1,598037,6,50
10,Harbhajan Singh,4,0,14,3,3.5,11,0,0,0,0,1,598037,6,85
11,Kieron Pollard,1,0,15,0,15,1,0,2,0,0,1,598037,6,0
0,Rahul Sharma,4,0,27,1,6.75,9,3,0,0,0,2,598038,6,25
1,Bhuvneshwar Kumar,4,1,24,0,6,9,3,0,0,0,2,598038,6,12
2,Kane Richardson,4,0,35,1,8.75,7,2,2,0,0,2,598038,6,25
3,Ashok Dinda,4,0,41,0,10.25,5,3,2,0,0,2,598038,6,0
4,Abhishek Nayar,3,0,23,0,7.67,3,1,0,1,0,2,598038,6,0
5,Luke Wright,1,0,12,1,12,2,1,1,0,0,2,598038,6,25
6,Ravindra Jadeja,4,0,26,1,6.5,14,1,2,0,1,1,598038,6,25
7,Albie Morkel,3,0,20,0,6.67,9,2,1,0,0,1,598038,6,0
8,Mohit Sharma,4,0,21,3,5.25,11,2,0,1,0,1,598038,6,79
9,Chris Morris,3,0,21,1,7,7,2,0,1,0,1,598038,6,25
10,Ravichandran Ashwin,2,0,20,0,10,5,2,1,0,0,1,598038,6,0
11,Dwayne Bravo,4,0,18,1,4.5,10,0,0,1,0,1,598038,6,31
0,Karn Sharma,4,0,25,0,6.25,8,2,0,0,0,2,598039,6,0
1,Dale Steyn,4,0,27,0,6.75,10,3,0,2,0,2,598039,6,0
2,Ishant Sharma,4,1,15,2,3.75,16,0,1,0,1,2,598039,6,68
3,Thisara Perera,4,0,37,0,9.25,9,6,0,1,1,2,598039,6,0
4,Amit Mishra,4,0,24,2,6,10,1,1,0,0,2,598039,6,50
5,Mitchell Johnson,3,0,21,1,7,8,3,0,0,0,1,598039,6,25
6,Dhawal Kulkarni,2,0,13,1,6.5,6,2,0,1,0,1,598039,6,25
7,Harbhajan Singh,4,0,35,1,8.75,9,3,1,0,1,1,598039,6,25
8,Lasith Malinga,3,0,23,0,7.67,7,3,0,0,0,1,598039,6,0
9,Pragyan Ojha,4,0,18,0,4.5,10,1,0,0,0,1,598039,6,6
10,Rohit Sharma,1,0,5,0,5,2,0,0,1,0,1,598039,6,0
11,Dwayne Smith,1,0,15,0,15,0,3,0,0,0,1,598039,6,0
0,Irfan Pathan,4,0,16,1,4,15,2,0,1,0,2,598040,6,31
1,Ashish Nehra,4,0,37,1,9.25,9,3,2,1,0,2,598040,6,25
2,Umesh Yadav,4,0,36,2,9,11,6,0,2,0,2,598040,6,50
3,Morne Morkel,4,0,22,1,5.5,15,1,1,1,0,2,598040,6,25
4,Shahbaz Nadeem,4,1,23,1,5.75,12,2,1,0,0,2,598040,6,37
5,Brett Lee,4,0,26,1,6.5,11,2,1,1,0,1,598040,6,25
6,Lakshmipathy Balaji,4,0,35,1,8.75,5,4,0,0,0,1,598040,6,25
7,Jacques Kallis,3,0,29,1,9.67,7,4,1,0,0,1,598040,6,25
8,Sunil Narine,4,0,14,0,3.5,14,1,0,0,0,1,598040,6,6
9,Rajat Bhatia,2,0,21,0,10.5,5,2,1,0,0,1,598040,6,0
10,Yusuf Pathan,0.5,0,11,0,13.2,1,0,1,0,0,1,598040,6,0
0,Praveen Kumar,4,0,38,0,9.5,9,1,3,0,0,2,598041,6,0
1,David Hussey,4,0,31,0,7.75,6,2,1,1,0,2,598041,6,0
2,Parvinder Awana,4,0,29,2,7.25,11,4,0,1,0,2,598041,6,50
3,Piyush Chawla,4,0,32,1,8,6,2,1,0,0,2,598041,6,25
4,Manpreet Gony,2,0,29,0,14.5,0,2,2,0,0,2,598041,6,-6
5,Rajagopal Sathish,2,0,26,0,13,1,3,1,0,0,2,598041,6,-6
6,Albie Morkel,4,0,20,0,5,11,2,0,0,0,1,598041,6,0
7,Mohit Sharma,4,0,31,2,7.75,11,6,0,0,0,1,598041,6,50
8,Ravichandran Ashwin,4,0,33,1,8.25,6,1,2,0,0,1,598041,6,25
9,Chris Morris,3,0,31,0,10.33,2,5,0,0,0,1,598041,6,0
10,Suresh Raina,1,0,19,0,19,0,1,2,0,0,1,598041,6,0
11,Dwayne Bravo,4,0,34,3,8.5,7,3,1,0,0,1,598041,6,79
0,Bhuvneshwar Kumar,3,0,20,0,6.67,10,3,0,1,0,2,598042,6,0
